_RAJ2000,_DEJ2000,HIP,Vmag,RAICRS,DEICRS,x_coord,y_coord
000.0008992088,+01.0890087506,     1, 9.10,0.00091185,1.08901332,-1.8010516122080948,0.0377240857853077
000.0042646079,-19.4988397098,     2, 9.27,0.00379737,-19.49883745,-1.697704882336741,-0.6012573921844842
000.0050243058,+38.8592790071,     3, 6.61,0.00500795,38.85928608,-1.4468301686933076,1.1746579514768007
000.0086292358,-51.8935457309,     4, 8.06,0.0083817,-51.89354612,-1.1383161905901444,-1.4571157067175446
000.0099734379,-40.5912023549,     5, 8.55,0.00996534,-40.5912244,-1.3846024275852893,-1.1902109881560419
000.0186927577,+03.9464577215,     6,12.31,0.01814144,3.94648893,-1.7983517735880679,0.1280426904665158
000.0220104750,+20.0361141279,     7, 9.64,0.02254891,20.03660216,-1.7102510359688614,0.630233160431661
000.0273431742,+25.8864606930,     8, 9.05,0.0272916,25.88647445,-1.6464130429233106,0.8063277908527504
000.0353228200,+36.5859582353,     9, 8.59,0.03534189,36.58593777,-1.4869750247934446,1.1124856868054331
000.0364157245,-50.8669763291,    10, 8.59,0.03625309,-50.8670736,-1.162377087718591,-1.4342276113941983
000.0373364290,+46.9399966303,    11, 7.34,0.03729695,46.94000154,-1.2822403629557153,1.3819603635928097
000.0408995731,-35.9602250631,    12, 8.43,0.04091756,-35.96022482,-1.4696305782374954,-1.0692671680453043
000.0417019456,-22.5947050757,    13, 8.80,0.0416797,-22.5946806,-1.6634618707610838,-0.6929389760338405
000.0484219798,-00.3604495546,    14, 7.25,0.04827189,-0.36042119,-1.7990983501278668,-0.008052187743350793
000.0503622674,+50.7911871351,    15, 8.60,0.0503089,50.79117384,-1.1938649021814944,1.4735439768518288
000.0509899235,-40.1923925137,    17, 8.15,0.05109957,-40.19232842,-1.3915427812323187,-1.1794579494820474
000.0524968995,-54.9143630497,    16,11.71,0.05140852,-54.91412819,-1.063573280617968,-1.5203898346694102
000.0528292392,-04.0536803313,    18,11.03,0.05313923,-4.05373813,-1.793081062467514,-0.12444909710343952
000.0533092167,+38.3040497315,    19, 6.53,0.05331696,38.30408636,-1.4559940850185258,1.1590103646878118
000.0630459348,+23.5292281158,    20, 8.51,0.0629505,23.52928397,-1.6731138937384122,0.7355954110041768
000.0663875981,+08.0072338353,    21, 7.55,0.06623569,8.00723437,-1.786798765490676,0.25603915399785604
000.0701064532,-49.3522657419,    22, 8.69,0.07013593,-49.35226686,-1.197200747261604,-1.3998722678258793
000.0745645488,+13.3122342848,    23, 7.57,0.0744293,13.31221083,-1.7610854449933562,0.42225908361740583
000.0763866647,-23.4526951227,    24, 9.05,0.07604979,-23.45274913,-1.6525467816939425,-0.7177983202480498
000.0795635338,-44.2905614654,    25, 6.28,0.07936537,-44.29029741,-1.3084482295585673,-1.2810200706027277
000.0840876191,-13.3933779189,    26, 9.13,0.08434579,-13.39329686,-1.747432317052049,-0.4151236726506602
000.0859096150,-41.2978132404,    27, 9.32,0.08546976,-41.29753696,-1.3693031861493097,-1.2069426062653728
000.0872120694,-43.3618207415,    28, 8.83,0.08724871,-43.36179962,-1.3276186428617478,-1.2582373875882948
000.0922307868,-49.1079452062,    29, 9.14,0.09213106,-49.10795505,-1.2024835594937315,-1.3940084297138344
000.0961079642,+42.1414741742,    30, 8.26,0.09613563,42.14149882,-1.381971409899749,1.2600225097279962
000.0980820259,+02.6754771939,    31, 7.63,0.0980939,2.67547768,-1.797288763104799,0.08780325421833976
000.0985822124,+51.9394871458,    32, 9.09,0.09858375,51.9394905,-1.1656904548032896,1.499191412852656
000.0991718826,-10.4623846687,    33, 8.10,0.09918083,-10.46245445,-1.7655748244326857,-0.3245469048261285
