deg	deg	HIP	mag	mas	mag	sptype
--------------	--------------	------	-----	-------	------	------------
050.9859675480	+45.5256032549	 15832	 8.42	  -1.31	 0.165	B9
050.9886817868	-26.2161958054	 15833	 8.14	  12.01	 0.457	F6/F7V
050.9950805997	-26.2166263422	 15834	 8.86	  12.01	 0.507	F5/F6V
050.9967359155	-30.5428861114	 15835	 8.60	   1.37	 1.137	K1III
050.9977307769	-37.1703263782	 15836	 7.65	   4.86	 1.165	K1II/III
050.9983681759	+10.4616742033	 15837	10.41	   4.87	 0.834	G0
051.0037781909	+19.9070624375	 15838	 6.83	   4.50	 1.630	K5
051.0085815713	-37.2832868894	 15839	 8.85	   3.03	 1.062	K1/K2III
051.0096372995	-69.6246061492	 15840	 6.14	   5.48	 0.482	A4:V+...
051.0148880688	+13.0549876372	 15841	10.99	   0.89	 0.645	G0
051.0160887870	-26.0366822671	 15842	 7.85	   6.31	 0.472	F3V
051.0187044048	+74.1709902047	 15843	 6.93	  19.01	 0.451	F5
051.0269993639	+23.7850267141	 15844	10.38	  50.54	 1.510	M0...
051.0265188119	-41.2318838798	 15845	 7.20	   4.84	 1.011	K0III
051.0278394268	+68.7715382181	 15846	10.81	   0.77	 0.700	B...
051.0325936216	-20.9313532267	 15847	 7.14	   6.46	 1.111	K0III
051.0397406312	-15.1716519261	 15848	 9.21	   2.01	 1.158	K1III
051.0415882424	+35.7622118735	 15849	 9.16	   1.43	 0.249	A
051.0422072267	+12.6295903905	 15850	 6.03	   7.06	 1.227	K0III-IV
051.0489718955	+70.2621173840	 15851	 8.75	  -1.22	 1.134	K0
051.0550311435	+67.4565636854	 15852	 9.10	   5.58	 0.698	
051.0591118072	+61.5385698494	 15853	 8.38	   3.25	 0.209	B2III-IV
051.0596496126	+17.5495863733	 15854	 8.10	   5.12	      	G5+...
051.0623510333	+67.4551708011	 15855	 7.74	   6.26	 0.558	F8
051.0631315074	+00.2446554506	 15856	 9.15	   8.96	 0.717	G5
051.0642033593	+11.8609957628	 15857	 8.84	   3.00	 2.239	M0
051.0645331192	+01.3566639653	 15858	 8.42	   5.76	 0.273	A2
051.0675952043	-24.3007245284	 15859	 7.09	   2.62	 1.297	K2III
051.0718263476	-45.0967536776	 15860	 7.83	   7.53	 0.510	F6V
051.0769787743	+24.7240629108	 15861	 5.50	  14.18	 1.190	K4III
051.0799111400	+49.2212547748	 15862	 9.00	   1.18	 0.335	A8V
051.0807097943	+49.8611795912	 15863	 1.79	   5.51	 0.481	F5Ib
051.0893294124	-08.9081298979	 15864	 9.49	   3.53	 0.482	F8
051.0899883322	-18.4734441331	 15865	 8.44	   2.99	 1.132	K0III
051.0979782506	-31.1267472101	 15866	 7.35	  14.64	 0.892	K1IV/V
051.0980014176	-57.5511089854	 15867	 7.44	   5.40	 0.975	G8III
051.1030627416	-15.6538394261	 15868	 7.51	  19.14	 0.618	G1/G2V
051.1025547732	-13.9929510471	 15869	 6.87	   5.59	 0.142	A2/A3IV/V
051.1088189602	+20.8034889133	 15870	 6.07	  10.76	-0.028	A1V
051.1103508952	+40.0438448235	 15871	 7.36	   3.13	 1.404	K5
051.1124940955	+03.8645420128	 15872	 9.48	   3.05	 0.377	F2
051.1162087231	-06.1443998042	 15873	 9.38	   2.72	 1.502	
051.1184582745	-45.8535378218	 15874	 8.17	   2.97	 0.810	G6III
051.1192238787	+06.9850158849	 15875	10.28	  24.70	 1.280	K7V:
051.1237559912	+33.5359618315	 15876	 5.78	   6.19	-0.001	A0V
051.1243324071	+34.2861006004	 15877	 8.65	   2.37	 0.279	A2
051.1251501461	+49.1399050212	 15878	 7.88	   6.43	 0.090	A1V
051.1359071907	-03.5350308169	 15880	 8.28	  10.75	 0.400	F0
051.1364325437	-61.8253118006	 15879	 9.21	   6.81	 0.492	F7V
051.1420843780	-46.8504702666	 15881	 9.24	   6.68	 0.534	F3/F5V
051.1436766574	+22.0403172668	 15882	 6.91	   7.74	 0.110	A0
051.1439409634	-45.6638752454	 15883	 7.05	   8.39	 0.314	A2V+...
051.1508449371	-51.0626574837	 15884	 6.50	   7.49	 0.003	A0V
051.1512218806	+27.9418433583	 15885	 8.60	   2.05	 1.507	M0
