#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-02-21T13:31:39 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T13:31:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=RAICRS&-out=DEICRS&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS
deg	deg	 	mag	deg	deg
--------------	--------------	------	-----	------------	------------
000.0008992088	+01.0890087506	     1	 9.10	000.00091185	+01.08901332
000.0042646079	-19.4988397098	     2	 9.27	000.00379737	-19.49883745
000.0050243058	+38.8592790071	     3	 6.61	000.00500795	+38.85928608
000.0086292358	-51.8935457309	     4	 8.06	000.00838170	-51.89354612
000.0099734379	-40.5912023549	     5	 8.55	000.00996534	-40.59122440
000.0186927577	+03.9464577215	     6	12.31	000.01814144	+03.94648893
000.0220104750	+20.0361141279	     7	 9.64	000.02254891	+20.03660216
000.0273431742	+25.8864606930	     8	 9.05	000.02729160	+25.88647445
000.0353228200	+36.5859582353	     9	 8.59	000.03534189	+36.58593777
000.0364157245	-50.8669763291	    10	 8.59	000.03625309	-50.86707360
000.0373364290	+46.9399966303	    11	 7.34	000.03729695	+46.94000154
000.0408995731	-35.9602250631	    12	 8.43	000.04091756	-35.96022482
000.0417019456	-22.5947050757	    13	 8.80	000.04167970	-22.59468060
000.0484219798	-00.3604495546	    14	 7.25	000.04827189	-00.36042119
000.0503622674	+50.7911871351	    15	 8.60	000.05030890	+50.79117384
000.0509899235	-40.1923925137	    17	 8.15	000.05109957	-40.19232842
000.0524968995	-54.9143630497	    16	11.71	000.05140852	-54.91412819
000.0528292392	-04.0536803313	    18	11.03	000.05313923	-04.05373813
000.0533092167	+38.3040497315	    19	 6.53	000.05331696	+38.30408636
000.0630459348	+23.5292281158	    20	 8.51	000.06295050	+23.52928397
000.0663875981	+08.0072338353	    21	 7.55	000.06623569	+08.00723437
000.0701064532	-49.3522657419	    22	 8.69	000.07013593	-49.35226686
000.0745645488	+13.3122342848	    23	 7.57	000.07442930	+13.31221083
000.0763866647	-23.4526951227	    24	 9.05	000.07604979	-23.45274913
000.0795635338	-44.2905614654	    25	 6.28	000.07936537	-44.29029741
000.0840876191	-13.3933779189	    26	 9.13	000.08434579	-13.39329686
000.0859096150	-41.2978132404	    27	 9.32	000.08546976	-41.29753696
000.0872120694	-43.3618207415	    28	 8.83	000.08724871	-43.36179962
000.0922307868	-49.1079452062	    29	 9.14	000.09213106	-49.10795505
000.0961079642	+42.1414741742	    30	 8.26	000.09613563	+42.14149882
000.0980820259	+02.6754771939	    31	 7.63	000.09809390	+02.67547768
000.0985822124	+51.9394871458	    32	 9.09	000.09858375	+51.93949050
000.0991718826	-10.4623846687	    33	 8.10	000.09918083	-10.46245445
